0.00,-9.53,-11.79,0.54,-2.15,-2.11,-1.97,-3.81,-8.99,1.66,4.93
-0.89,2.36,1.52,0.70,2.06,2.15,-1.02,4.07,2.77,1.36,-1.93
-0.11,0.85,0.83,0.09,0.17,0.51,-0.75,2.40,3.14,0.53,-2.80
1.00,8.78,0.01,0.04,0.13,0.15,-0.97,4.91,3.69,2.43,-0.31
-0.56,0.38,0.50,0.38,0.45,0.48,-0.54,0.83,3.28,2.82,-0.06
0.28,-0.02,0.79,-0.21,-1.01,-0.76,2.47,2.98,1.86,0.79,-2.59
1.31,7.94,-1.38,-0.32,-1.03,-0.40,-1.17,1.93,4.30,-0.56,-3.00
1.43,0.45,-1.08,-0.47,0.02,-0.84,-0.25,1.58,2.86,0.47,-1.91
-0.62,1.35,3.16,0.15,1.79,0.66,-1.41,1.36,2.84,1.04,-2.31
2.73,8.21,-1.08,-0.53,-0.56,-1.80,-2.78,3.61,8.80,2.27,-0.83
1.77,8.78,-1.74,-0.04,-0.25,-1.83,-2.87,2.48,2.75,3.01,-3.66
