0.00,-0.89,-0.11,1.00,-0.56,0.28,1.31,1.43,-0.62,2.73,1.77
-5.65,-1.36,-0.77,-0.60,0.24,-0.91,-3.22,-0.86,1.26,0.12,-0.04
-9.29,-1.50,0.83,-0.88,1.78,-1.28,-1.99,-0.20,1.80,-0.85,-0.40
-2.23,1.84,-0.62,-0.17,1.92,-0.22,-1.15,0.06,1.22,0.04,-1.18
-2.13,-0.19,-0.15,-0.01,-3.27,1.47,-0.86,-0.90,1.55,-0.04,0.08
-1.89,0.26,0.61,0.60,2.17,-0.36,-1.69,-0.71,1.03,0.18,-0.48
-5.80,1.91,-0.10,-0.51,1.58,0.03,4.14,0.71,4.25,-0.33,3.70
-1.00,1.72,-0.93,-1.07,0.27,-0.63,-2.07,-3.93,0.95,-0.81,-0.44
-4.92,0.20,0.38,-0.38,2.10,-1.15,-4.46,3.14,3.20,0.17,1.43
2.37,0.92,0.87,0.06,1.62,-0.26,-0.06,-1.37,1.32,-0.59,-0.50
2.30,1.81,1.37,0.70,1.29,1.23,-1.19,-0.16,2.43,0.08,0.56
